Year,Job Count,Category,Code,Occupation,Sectors,Change.Number
2026,47.3,Green Enhanced Skills,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Manufacturing,
2026,31,Green Enhanced Skills,19-4011.01,Agricultural Technicians,Agriculture and Forestry,
2026,40.2,Green Enhanced Skills,27-3022.00,Reporters and Correspondents,Environment Protection,
2026,40.2,Green Enhanced Skills,27-3022.00,Reporters and Correspondents,"Research, Design, and Consulting Services",
2026,427.3,Green Increased Demand,51-4121.07,Solderers and Brazers,Green Construction,
2026,427.3,Green Increased Demand,51-4121.07,Solderers and Brazers,Manufacturing,
2026,427.3,Green Increased Demand,51-4121.06,"Welders, Cutters, and Welder Fitters",Green Construction,
2026,427.3,Green Increased Demand,51-4121.06,"Welders, Cutters, and Welder Fitters",Manufacturing,
2026,54.1,Green Enhanced Skills,47-4041.00,Hazardous Materials Removal Workers,Environment Protection,
2026,54.1,Green Enhanced Skills,47-4041.00,Hazardous Materials Removal Workers,Environment Protection,
2026,54.1,Green Enhanced Skills,47-4041.00,Hazardous Materials Removal Workers,Green Construction,
2026,54.1,Green Enhanced Skills,47-4041.00,Hazardous Materials Removal Workers,Green Construction,
2026,54.1,Green Enhanced Skills,47-4041.00,Hazardous Materials Removal Workers,Recycling and Waste Reduction,
2026,54.1,Green Enhanced Skills,47-4041.00,Hazardous Materials Removal Workers,Recycling and Waste Reduction,
2026,195.4,Green Increased Demand,53-3021.00,"Bus Drivers, Transit and Intercity",Transportation,
2026,23.1,Green New & Emerging,47-2231.00,Solar Photovoltaic Installers,Renewable Energy Generation,
